Entity,Attribute,DataType,Nullable,PK,FK,Domain,Description,SourceReqID,Sensitivity,ValidationRules,Notes
STAGE_TYPES,TYPE_ID,TBD,TBD,Yes,No,,معرّف نوع المرحلة,FR-001,TBD,,
STAGE_TYPES,NAME_AR,TBD,TBD,No,No,,اسم نوع المرحلة بالعربية,FR-001,TBD,,
STAGE_TYPES,NAME_EN,TBD,TBD,No,No,,اسم نوع المرحلة بالإنجليزية,FR-001,TBD,,
STAGE_TYPES,ACTIVE,TBD,TBD,No,No,,حالة التفعيل,FR-001,TBD,,
STAGES,STAGE_ID,TBD,TBD,Yes,No,,معرّف المرحلة,FR-002,TBD,,
STAGES,CODE,TBD,TBD,No,No,,كود المرحلة الفريد,FR-002,TBD,Unique,
STAGES,NAME_AR,TBD,TBD,No,No,,اسم المرحلة بالعربية,FR-002,TBD,,
STAGES,NAME_EN,TBD,TBD,No,No,,اسم المرحلة بالإنجليزية,FR-002,TBD,,
STAGES,TYPE_ID,TBD,TBD,No,Yes,,نوع المرحلة,FR-002,TBD,,
STAGES,SEQ,TBD,TBD,No,No,,ترتيب المرحلة,FR-002,TBD,,
STAGES,ACTIVE,TBD,TBD,No,No,,حالة التفعيل,FR-002,TBD,,
EMPLOYEES,EMP_ID,TBD,TBD,Yes,No,,معرّف الموظف,FR-005,TBD,,
EMPLOYEES,EMP_NO,TBD,TBD,No,No,,الرقم الوظيفي,FR-005,TBD,Unique,
EMPLOYEES,NAME_AR,TBD,TBD,No,No,,اسم الموظف بالعربية,FR-005,TBD,,
EMPLOYEES,NAME_EN,TBD,TBD,No,No,,اسم الموظف بالإنجليزية,FR-005,TBD,,
EMPLOYEES,NAME_HI,TBD,TBD,No,No,,اسم الموظف بالهندية,FR-005,TBD,,
EMPLOYEES,BADGE_CODE,TBD,TBD,No,No,,Badge/Barcode,FR-005,TBD,Unique,
