ReportID,ReportName_AR,ReportName_EN,AudienceRole,Frequency,DataScope,Filters,ExportFormats,Notes
R-001,سجل الإنتاج الخام,Raw Production Log,مدير الإنتاج,Daily,PROD_LOGS,"التاريخ,المرحلة,الموظف","CSV,PDF",
R-002,إنتاجية الموظف,Employee Productivity,مدير الإنتاج,Weekly,PROD_LOGS,"الفترة,الموظف","CSV,PDF",
R-003,إنتاجية المراحل,Stage Productivity,مدير الإنتاج,Weekly,PROD_LOGS,"الفترة,المرحلة","CSV,PDF",
R-004,WIP حسب المرحلة,WIP by Stage,أمين المستودع,Daily,DISTRIBUTIONS,"المرحلة,الفرع","CSV,PDF",
R-005,تقرير التوزيع والأسباب,Distribution Reasons,أمين المستودع,Daily,DISTRIBUTIONS,"الفترة,نوع التوزيع","CSV,PDF",
R-006,QC إجمالي,QC Summary,فاحص جودة نهائي,Daily,QC_CHECKS,"الفترة,نوع QC","CSV,PDF",
R-007,QC بالصور,QC with Photos,فاحص جودة نهائي,Daily,QC_DEFECTS,"الفترة,العيب","CSV,PDF",
R-008,العيوب حسب المرحلة,Defects by Stage,محقق موارد بشرية,Monthly,QC_DEFECTS,"المرحلة,الفترة","CSV,PDF",
R-009,الجزاءات حسب الموظف,Penalties by Employee,محقق موارد بشرية,Monthly,PENALTIES,"الفترة,الموظف","CSV,PDF",
R-010,تذاكر الإصلاح المفتوحة,Open Repair Tickets,فاحص جودة نهائي,Daily,REPAIR_TICKETS,"الحالة,الموعد","CSV,PDF",
R-011,تأخير الإصلاح,Repair Delays,مدير الإنتاج,Weekly,REPAIR_TICKETS,"المرحلة,التأخير","CSV,PDF",
R-012,ETA للطلبات,Orders ETA,مدير الإنتاج,Daily,ORDERS,"الفترة,الفرع","CSV,PDF",
R-013,دقة ETA,ETA Accuracy,مدير الإنتاج,Monthly,"ORDERS,PROD_LOGS",الفترة,"CSV,PDF",
R-014,الاختناقات,Bottlenecks,مدير الإنتاج,Daily,"STAGES,PROD_LOGS",الفترة,"CSV,PDF",
R-015,ساعات NPT,NPT Hours,محاسب,Weekly,NPT_LOGS,"الفترة,الموظف","CSV,PDF",
R-016,ملخص الرواتب,Payroll Summary,محاسب,Monthly,PAYROLL_RUNS,الفترة,"CSV,PDF",
R-017,تفاصيل الرواتب,Payroll Details,محاسب,Monthly,PAYROLL_LINES,"الفترة,الموظف","CSV,PDF",
R-018,أسعار المراحل,Stage Rates,محاسب,Monthly,RATES,"الفترة,المرحلة","CSV,PDF",
R-019,التدريب والامتثال,Training Compliance,مسؤول النظام,Monthly,TRAINING_ASSIGN,"الفترة,المرحلة","CSV,PDF",
R-020,سجل التدقيق,Audit Log,مسؤول النظام,Daily,AUDIT_LOG,"الفترة,العملية","CSV,PDF",
R-021,حركة المنتج الكاملة,Full Item Trace,المدير العام,OnDemand,"PROD_LOGS,DISTRIBUTIONS,QC_CHECKS",رقم المنتج,"CSV,PDF",
R-022,التكاملات والأخطاء,Integration Errors,مسؤول النظام,Daily,INTEGRATION_LOGS,"النظام,الحالة","CSV,PDF",
R-023,توزيع العمل حسب الموظف,Workload Distribution,مدير الإنتاج,Weekly,"DISTRIBUTIONS,PROD_LOGS","الفترة,الموظف","CSV,PDF",
R-024,الأيام الموسمية,Seasonal Day Adjustments,مسؤول النظام,Monthly,SETTINGS,الفترة,"CSV,PDF",
